,Working_Year,Designation,Experience,Employment_Status,Employee_Location,Company_Size,Remote_Working_Ratio,Job_Category,Salary_In_Rupees
0,2020,Data Scientist,Mid,FT,DE,L,0,Data Science,"6,352,250.00"
1,2020,Machine Learning Scientist,Senior,FT,JP,S,0,Machine Learning,"20,688,083.33"
2,2020,Big Data Engineer,Senior,FT,GB,M,50,Data Engineering,"8,675,000.00"
3,2020,Product Data Analyst,Mid,FT,HN,S,0,Data Analytics,"1,591,416.67"
4,2020,Machine Learning Engineer,Senior,FT,US,L,50,Machine Learning,"11,935,416.67"
5,2020,Data Analyst,Entry,FT,US,L,100,Data Analytics,"5,729,000.00"
6,2020,Lead Data Scientist,Senior,FT,US,S,100,Data Science,"15,118,166.67"
7,2020,Data Scientist,Mid,FT,HU,L,50,Data Science,"2,843,416.67"
8,2020,Business Data Analyst,Mid,FT,US,L,100,Data Analytics,"10,741,916.67"
9,2020,Lead Data Engineer,Senior,FT,NZ,S,50,Data Engineering,"9,946,166.67"
10,2020,Data Scientist,Entry,FT,FR,S,0,Data Science,"4,083,583.33"
11,2020,Data Scientist,Mid,FT,IN,L,0,Data Science,"3,221,083.33"
12,2020,Data Scientist,Entry,FT,FR,M,0,Data Science,"3,176,083.33"
13,2020,Lead Data Analyst,Mid,FT,US,L,100,Data Analytics,"6,922,583.33"
14,2020,Data Analyst,Mid,FT,US,L,100,Data Analytics,"6,763,416.67"
15,2020,Data Analyst,Mid,FT,PK,L,50,Data Analytics,"636,583.33"
16,2020,Data Engineer,Entry,FT,JP,S,100,Data Engineering,"3,317,166.67"
17,2020,Big Data Engineer,Senior,FT,PL,S,100,Data Engineering,"9,074,666.67"
18,2020,Data Science Consultant,Entry,FT,IN,M,50,Consultant,"454,083.33"
19,2020,Lead Data Engineer,Mid,FT,PT,M,100,Data Engineering,"4,455,916.67"
20,2020,Machine Learning Engineer,Mid,FT,CN,M,0,Machine Learning,"3,447,833.33"
21,2020,Product Data Analyst,Mid,FT,IN,L,100,Data Analytics,"483,166.67"
22,2020,Data Engineer,Senior,FT,GR,L,50,Data Engineering,"3,811,333.33"
23,2020,BI Data Analyst,Mid,FT,US,M,0,Data Analytics,"7,797,833.33"
24,2020,Lead Data Scientist,Mid,FT,AE,L,0,Data Science,"9,150,500.00"
25,2020,Director of Data Science,Executive,FT,US,L,100,Managerial,"25,860,083.33"
26,2020,Research Scientist,Entry,FT,NL,L,50,Other,"3,341,916.67"
27,2020,Data Engineer,Senior,FT,MX,S,0,Data Engineering,"2,666,416.67"
28,2020,Business Data Analyst,Entry,CT,US,L,100,Data Analytics,"7,956,916.67"
29,2020,Machine Learning Manager,Senior,FT,CA,L,50,Machine Learning,"9,317,916.67"
30,2020,Data Engineering Manager,Mid,FT,DE,S,100,Data Engineering,"4,718,750.00"
31,2020,Big Data Engineer,Entry,FT,US,L,100,Data Engineering,"5,569,833.33"
32,2020,Data Scientist,Senior,FT,GR,L,100,Data Science,"5,444,750.00"
33,2020,Research Scientist,Mid,FT,US,M,0,Other,"35,806,250.00"
34,2020,Data Analyst,Mid,FT,FR,L,50,Data Analytics,"3,720,583.33"
35,2020,Data Engineer,Mid,FT,AT,L,50,Data Engineering,"5,898,500.00"
36,2020,Data Science Consultant,Mid,FT,US,L,100,Consultant,"8,195,666.67"
37,2020,Machine Learning Engineer,Entry,FT,US,L,50,Machine Learning,"19,892,333.33"
38,2020,Data Analyst,Entry,FT,NG,S,100,Data Analytics,"795,666.67"
39,2020,Machine Learning Engineer,Entry,FT,US,S,100,Machine Learning,"10,980,583.33"
40,2020,Data Scientist,Mid,FT,PH,S,100,Data Science,"3,641,083.33"
41,2020,Data Engineering Manager,Executive,FT,ES,L,50,Data Engineering,"6,352,250.00"
42,2020,Machine Learning Infrastructure Engineer,Mid,FT,PT,M,0,Data Engineering,"3,992,833.33"
43,2020,Data Engineer,Mid,FT,US,L,100,Data Engineering,"8,434,333.33"
44,2020,Data Engineer,Mid,FT,GB,L,50,Data Engineering,"8,981,166.67"
45,2020,ML Engineer,Entry,PT,DE,S,100,Machine Learning,"1,270,416.67"
46,2020,Data Scientist,Mid,FT,GB,S,100,Data Science,"6,123,500.00"
47,2020,Data Engineer,Senior,FT,US,L,100,Data Engineering,"14,959,083.33"
48,2020,Data Scientist,Mid,FT,US,L,100,Data Science,"8,354,833.33"
49,2020,Data Engineer,Mid,FT,FR,L,50,Data Engineering,"5,580,916.67"
50,2020,Data Analyst,Entry,FT,IN,S,0,Data Analytics,"483,166.67"
51,2020,Data Analyst,Entry,FT,US,L,100,Data Analytics,"7,240,833.33"
52,2020,AI Scientist,Entry,FT,DK,S,50,Machine Learning,"3,651,916.67"
53,2020,Data Engineer,Entry,FT,PK,L,100,Data Engineering,"4,355,833.33"
54,2020,Computer Vision Engineer,Senior,FL,RU,S,100,Other,"4,774,166.67"
55,2020,Principal Data Scientist,Senior,FT,DE,M,100,Data Science,"11,797,083.33"
56,2020,Data Scientist,Mid,FT,ES,M,100,Data Science,"3,085,416.67"
57,2020,Data Scientist,Mid,FT,US,M,100,Data Science,"9,389,166.67"
58,2020,Data Scientist,Senior,FT,US,L,50,Data Science,"9,548,333.33"
59,2020,Data Scientist,Mid,FT,US,M,100,Data Science,"11,008,416.67"
60,2020,Data Engineer,Mid,FT,US,L,100,Data Engineering,"8,752,666.67"
61,2020,Data Engineer,Mid,FT,ES,M,100,Data Engineering,"10,407,666.67"
62,2020,Data Scientist,Entry,PT,IT,S,50,Data Science,"1,724,166.67"
63,2020,Data Scientist,Senior,FT,US,L,100,Data Science,"32,782,666.67"
64,2020,Machine Learning Engineer,Senior,FT,HR,S,100,Machine Learning,"3,629,833.33"
65,2020,Data Scientist,Entry,FT,DE,S,50,Data Science,"4,991,083.33"
66,2020,Data Scientist,Entry,FT,DE,S,0,Data Science,"3,920,250.00"
67,2020,Data Science Manager,Senior,FT,US,M,100,Managerial,"15,134,083.33"
68,2020,Data Scientist,Entry,FT,US,S,100,Data Science,"8,354,833.33"
69,2020,Data Scientist,Senior,FT,AT,S,0,Data Science,"7,259,666.67"
70,2020,Data Scientist,Mid,FT,FR,S,50,Data Science,"4,991,083.33"
71,2020,Data Scientist,Mid,FT,FR,S,50,Data Science,"3,357,583.33"
72,2021,Research Scientist,Entry,FT,GB,L,50,Other,"6,566,750.00"
73,2021,BI Data Analyst,Executive,FT,IN,L,100,Data Analytics,"11,935,416.67"
74,2021,Head of Data,Executive,FT,US,L,100,Managerial,"18,698,833.33"
75,2021,Data Scientist,Senior,FT,FR,L,50,Data Science,"4,232,500.00"
76,2021,BI Data Analyst,Mid,FT,US,M,100,Data Analytics,"7,956,916.67"
77,2021,3D Computer Vision Researcher,Mid,PT,IN,M,50,Other,"430,416.67"
78,2021,ML Engineer,Mid,CT,US,L,100,Machine Learning,"21,483,750.00"
79,2021,Data Analyst,Entry,FT,US,M,100,Data Analytics,"6,365,583.33"
80,2021,Data Analytics Engineer,Senior,FT,DE,L,100,Data Analytics,"6,301,666.67"
81,2021,Data Engineer,Mid,FT,US,L,100,Data Engineering,"11,139,750.00"
82,2021,Applied Data Scientist,Mid,FT,GB,L,50,Data Science,"4,315,666.67"
83,2021,Machine Learning Engineer,Mid,FT,ES,S,100,Machine Learning,"3,762,166.67"
84,2021,Director of Data Science,Executive,FT,IT,L,100,Managerial,"12,227,166.67"
85,2021,Data Engineer,Mid,FT,PL,L,100,Data Engineering,"2,265,833.33"
86,2021,Data Analyst,Entry,FT,FR,M,50,Data Analytics,"4,702,750.00"
87,2021,Data Analytics Engineer,Mid,FT,US,L,100,Data Analytics,"8,752,666.67"
88,2021,Lead Data Analyst,Senior,FT,US,L,100,Data Analytics,"13,526,833.33"
89,2021,Data Analyst,Senior,FT,BG,S,100,Data Analytics,"6,365,583.33"
90,2021,Marketing Data Analyst,Senior,FT,GR,L,100,Data Analytics,"7,054,166.67"
91,2021,Data Science Consultant,Entry,FT,DE,S,100,Consultant,"6,113,583.33"
92,2021,Lead Data Analyst,Mid,FT,IN,L,100,Data Analytics,"1,560,250.00"
93,2021,Lead Data Engineer,Senior,FT,US,L,0,Data Engineering,"21,961,166.67"
94,2021,Data Scientist,Entry,FT,IN,L,50,Data Science,"2,367,250.00"
95,2021,Cloud Data Engineer,Mid,FT,SG,L,50,Data Engineering,"7,105,083.33"
96,2021,AI Scientist,Entry,PT,BR,S,100,Machine Learning,"954,833.33"
97,2021,Financial Data Analyst,Mid,FT,US,L,100,Data Analytics,"35,806,250.00"
98,2021,Computer Vision Software Engineer,Entry,FT,US,M,100,Other,"5,569,833.33"
99,2021,Computer Vision Software Engineer,Mid,FT,DE,S,100,Other,"7,618,500.00"
100,2021,Data Analyst,Mid,FT,US,L,0,Data Analytics,"5,967,750.00"
101,2021,Data Engineer,Senior,FT,US,L,100,Data Engineering,"11,935,416.67"
102,2021,BI Data Analyst,Mid,FT,HU,L,50,Data Analytics,"2,885,083.33"
103,2021,Data Analyst,Mid,FT,US,L,0,Data Analytics,"4,933,333.33"
104,2021,Data Scientist,Mid,FT,US,L,0,Data Science,"5,808,583.33"
105,2021,Data Analyst,Mid,FT,GB,L,50,Data Analytics,"4,099,333.33"
106,2021,Research Scientist,Mid,FT,CA,L,100,Other,"14,914,666.67"
107,2021,Data Engineer,Senior,FT,US,S,100,Data Engineering,"9,150,500.00"
108,2021,Data Engineer,Senior,FT,US,M,100,Data Engineering,"11,935,416.67"
109,2021,Data Engineer,Entry,FT,IN,L,100,Data Engineering,"2,421,166.67"
110,2021,Machine Learning Engineer,Senior,FT,DE,L,50,Machine Learning,"7,524,416.67"
111,2021,Director of Data Engineering,Senior,FT,GB,M,100,Data Engineering,"9,029,250.00"
112,2021,Lead Data Engineer,Senior,FT,GB,S,100,Data Engineering,"8,208,416.67"
113,2021,AI Scientist,Entry,PT,PK,M,100,Machine Learning,"954,833.33"
114,2021,Data Engineer,Mid,FT,NL,L,100,Data Engineering,"3,611,750.00"
115,2021,Machine Learning Scientist,Entry,FT,US,L,100,Machine Learning,"17,903,166.67"
116,2021,Data Scientist,Mid,FT,NG,L,100,Data Science,"3,978,500.00"
117,2021,Data Science Engineer,Mid,FT,GR,M,100,Other,"3,197,833.33"
118,2021,Data Analyst,Entry,FT,US,S,100,Data Analytics,"7,161,250.00"
119,2021,Data Engineer,Mid,FT,US,L,100,Data Engineering,"15,913,916.67"
120,2021,Big Data Engineer,Mid,FT,ES,M,50,Data Engineering,"4,774,166.67"
121,2021,Principal Data Engineer,Senior,FT,US,M,100,Data Engineering,"15,913,916.67"
122,2021,Data Analyst,Entry,FT,US,M,100,Data Analytics,"3,978,500.00"
123,2021,Applied Data Scientist,Entry,FT,GB,L,0,Data Science,"8,755,583.33"
124,2021,Data Analyst,Entry,PT,ES,M,50,Data Analytics,"823,833.33"
125,2021,Principal Data Scientist,Mid,FT,US,L,100,Data Science,"12,015,000.00"
126,2021,Machine Learning Scientist,Senior,FT,US,S,50,Machine Learning,"9,548,333.33"
127,2021,Data Scientist,Mid,FT,IN,S,0,Data Science,"753,166.67"
128,2021,Machine Learning Engineer,Entry,FT,IN,S,100,Machine Learning,"1,591,416.67"
129,2021,Lead Data Scientist,Senior,FT,IN,L,50,Data Science,"3,228,166.67"
130,2021,Machine Learning Developer,Entry,FT,IQ,S,50,Machine Learning,"7,956,916.67"
131,2021,Data Scientist,Entry,FT,FR,M,50,Data Science,"3,950,333.33"
132,2021,Applied Machine Learning Scientist,Mid,FT,VN,M,100,Machine Learning,"3,055,500.00"
133,2021,Computer Vision Engineer,Senior,FT,BR,M,100,Other,"1,909,666.67"
134,2021,Data Scientist,Entry,FT,US,S,0,Data Science,"7,956,916.67"
135,2021,Data Analyst,Mid,FT,US,M,100,Data Analytics,"7,161,250.00"
136,2021,ML Engineer,Mid,FT,JP,S,50,Machine Learning,"5,069,416.67"
137,2021,ML Engineer,Mid,FT,JP,S,50,Machine Learning,"6,155,833.33"
138,2021,Principal Data Scientist,Senior,FT,US,L,0,Data Science,"17,505,250.00"
139,2021,Data Scientist,Entry,FT,US,M,100,Data Science,"6,365,583.33"
140,2021,Data Analyst,Mid,FT,US,L,100,Data Analytics,"10,741,916.67"
141,2021,Data Science Manager,Senior,FT,US,L,0,Managerial,"19,096,666.67"
142,2021,Data Engineering Manager,Senior,FT,US,L,0,Data Engineering,"11,935,416.67"
143,2021,Data Scientist,Mid,FT,US,S,100,Data Science,"6,564,500.00"
144,2021,Data Engineer,Mid,FT,US,L,100,Data Engineering,"7,956,916.67"
145,2021,Machine Learning Engineer,Senior,FT,BE,M,50,Machine Learning,"6,583,916.67"
146,2021,Research Scientist,Mid,FT,FR,M,50,Other,"4,984,916.67"
147,2021,Data Engineer,Mid,FT,US,L,100,Data Engineering,"7,161,250.00"
148,2021,Data Engineering Manager,Senior,FT,US,L,100,Data Engineering,"12,174,166.67"
149,2021,Cloud Data Engineer,Senior,FT,BR,S,100,Data Engineering,"12,731,083.33"
150,2021,Director of Data Science,Senior,FT,JP,S,0,Managerial,"13,367,666.67"
151,2021,Data Scientist,Mid,FT,US,M,100,Data Science,"11,935,416.67"
152,2021,Data Scientist,Mid,FT,CA,L,100,Data Science,"6,029,333.33"
153,2021,Data Scientist,Entry,FT,UA,L,100,Data Science,"1,066,250.00"
154,2021,Data Science Manager,Senior,FT,US,L,100,Managerial,"11,458,000.00"
155,2021,Data Science Engineer,Senior,FT,CA,L,50,Other,"10,122,916.67"
156,2021,Data Scientist,Mid,FT,SG,M,100,Data Science,"9,473,500.00"
157,2021,Applied Machine Learning Scientist,Mid,FT,US,L,50,Machine Learning,"33,657,916.67"
158,2021,Data Analytics Manager,Senior,FT,US,M,100,Data Analytics,"9,548,333.33"
159,2021,Machine Learning Engineer,Entry,FT,US,S,100,Machine Learning,"9,946,166.67"
160,2021,Head of Data,Executive,FT,RU,L,50,Managerial,"18,301,000.00"
161,2021,Head of Data Science,Executive,FT,RU,M,0,Managerial,"6,763,416.67"
162,2021,Data Engineer,Mid,FT,MT,L,50,Data Engineering,"2,257,333.33"
163,2021,Data Science Consultant,Entry,FT,DE,L,50,Consultant,"5,079,000.00"
164,2021,Director of Data Science,Executive,FT,DE,M,50,Managerial,"10,346,083.33"
165,2021,Data Specialist,Senior,FT,US,L,100,Other,"13,129,000.00"
166,2021,Data Engineer,Entry,FT,US,L,100,Data Engineering,"6,365,583.33"
167,2021,Director of Data Science,Executive,FT,US,L,0,Managerial,"19,892,333.33"
168,2021,BI Data Analyst,Entry,FT,US,S,50,Data Analytics,"4,376,333.33"
169,2021,Data Architect,Mid,FT,US,L,100,Data Engineering,"11,935,416.67"
170,2021,Data Architect,Mid,FT,US,L,100,Data Engineering,"13,526,833.33"
171,2021,Data Engineer,Mid,FT,GB,L,100,Data Engineering,"6,566,750.00"
172,2021,Data Analyst,Entry,FT,US,S,100,Data Analytics,"4,774,166.67"
173,2021,Principal Data Scientist,Senior,FT,US,L,100,Data Science,"18,698,833.33"
174,2021,Research Scientist,Senior,FT,PT,L,50,Other,"4,834,416.67"
175,2021,Data Engineering Manager,Senior,FT,US,L,100,Data Engineering,"13,845,083.33"
176,2021,Data Scientist,Mid,FT,MX,S,0,Data Science,"227,500.00"
177,2021,Data Scientist,Mid,FT,CL,L,100,Data Science,"3,185,833.33"
178,2021,Machine Learning Engineer,Entry,FT,US,S,50,Machine Learning,"6,445,166.67"
179,2021,Data Scientist,Mid,FT,IN,S,100,Data Science,"451,833.33"
180,2021,Big Data Engineer,Mid,FT,IN,L,0,Data Engineering,"1,799,166.67"
181,2021,Data Scientist,Mid,FT,DE,L,50,Data Science,"7,219,666.67"
182,2021,Data Engineer,Mid,FT,RO,L,0,Data Engineering,"2,069,166.67"
183,2021,Finance Data Analyst,Senior,FT,GB,L,50,Data Analytics,"4,925,000.00"
184,2021,Machine Learning Scientist,Mid,FL,PK,M,50,Machine Learning,"954,833.33"
185,2021,Data Engineer,Mid,FT,IR,M,100,Data Engineering,"318,250.00"
186,2021,Data Analytics Engineer,Senior,FT,VN,M,100,Data Analytics,"3,978,500.00"
187,2021,Data Science Consultant,Executive,FT,FR,S,100,Consultant,"5,549,250.00"
188,2021,Data Engineer,Senior,FT,RO,S,50,Data Engineering,"6,113,583.33"
189,2021,Machine Learning Engineer,Mid,FT,JP,S,50,Machine Learning,"5,888,166.67"
190,2021,Data Science Manager,Senior,FT,US,L,100,Managerial,"12,094,583.33"
191,2021,Machine Learning Engineer,Entry,FT,CO,M,50,Machine Learning,"1,738,083.33"
192,2021,Big Data Engineer,Mid,FT,MD,S,0,Data Engineering,"1,432,250.00"
193,2021,Data Science Manager,Senior,FT,US,L,100,Managerial,"13,845,083.33"
194,2021,Research Scientist,Senior,FT,CA,L,50,Other,"7,647,666.67"
195,2021,Data Scientist,Mid,FT,US,L,50,Data Science,"11,696,750.00"
196,2021,BI Data Analyst,Entry,FT,KE,S,100,Data Analytics,"737,750.00"
197,2021,Machine Learning Engineer,Senior,FT,IN,L,100,Machine Learning,"1,936,916.67"
198,2021,Data Science Manager,Senior,FT,IN,L,50,Managerial,"4,304,250.00"
199,2021,Data Science Consultant,Entry,FT,US,S,100,Consultant,"7,161,250.00"
200,2021,Data Scientist,Mid,FT,DE,M,50,Data Science,"4,890,916.67"
201,2021,Machine Learning Infrastructure Engineer,Senior,FT,US,M,100,Data Engineering,"15,516,083.33"
202,2021,Data Scientist,Mid,FT,ES,L,100,Data Science,"3,009,750.00"
203,2021,Research Scientist,Senior,FT,FR,S,100,Other,"3,978,500.00"
204,2021,Data Scientist,Mid,FT,US,L,100,Data Science,"12,731,083.33"
205,2021,Data Scientist,Mid,FT,BR,S,0,Data Science,"1,026,500.00"
206,2021,Machine Learning Engineer,Senior,FT,US,L,100,Machine Learning,"15,913,916.67"
207,2021,Data Engineer,Senior,FT,US,M,0,Data Engineering,"13,129,000.00"
208,2021,Data Engineer,Mid,FL,IT,L,0,Data Engineering,"1,591,416.67"
209,2021,Data Analytics Manager,Senior,FT,US,L,0,Data Analytics,"9,548,333.33"
210,2021,Machine Learning Engineer,Mid,FT,SI,L,50,Machine Learning,"1,975,166.67"
211,2021,Research Scientist,Mid,FT,FR,S,50,Other,"4,514,583.33"
212,2021,Data Engineer,Mid,FT,HK,S,50,Data Engineering,"5,253,333.33"
213,2021,Big Data Engineer,Entry,FT,IN,L,0,Data Engineering,"468,000.00"
214,2021,Machine Learning Engineer,Entry,FT,DE,M,50,Machine Learning,"1,975,166.67"
215,2021,Principal Data Engineer,Senior,FT,US,L,100,Data Engineering,"14,720,333.33"
216,2021,Computer Vision Engineer,Entry,PT,DK,S,50,Other,"2,276,416.67"
217,2021,Data Scientist,Mid,FT,DE,L,50,Data Science,"7,219,666.67"
218,2021,Machine Learning Engineer,Mid,FT,BE,M,100,Machine Learning,"7,054,166.67"
219,2021,Data Analytics Manager,Senior,FT,US,L,100,Data Analytics,"11,139,750.00"
220,2021,Machine Learning Engineer,Mid,FT,PL,L,100,Machine Learning,"3,707,666.67"
221,2021,Data Scientist,Mid,FT,GB,L,50,Data Science,"9,302,750.00"
222,2021,Data Scientist,Mid,FT,IN,M,0,Data Science,"2,690,083.33"
223,2021,Data Scientist,Mid,FT,GB,L,50,Data Science,"4,476,250.00"
224,2021,Machine Learning Scientist,Senior,FT,US,L,100,Machine Learning,"17,903,166.67"
225,2021,Principal Data Scientist,Executive,CT,US,S,100,Data Science,"33,100,916.67"
226,2021,Data Scientist,Senior,FT,CA,S,100,Data Science,"6,981,250.00"
227,2021,Data Scientist,Mid,FT,DE,L,50,Data Science,"7,054,166.67"
228,2021,Data Scientist,Senior,FT,US,L,0,Data Science,"10,741,916.67"
229,2021,Data Analyst,Senior,FT,CA,M,100,Data Analytics,"5,712,000.00"
230,2021,Big Data Engineer,Entry,FT,IN,L,100,Data Engineering,"1,291,250.00"
231,2021,ML Engineer,Senior,FT,US,S,100,Machine Learning,"20,369,833.33"
232,2021,Director of Data Engineering,Senior,FT,US,L,100,Data Engineering,"15,913,916.67"
233,2021,Data Analyst,Senior,FT,US,L,100,Data Analytics,"15,913,916.67"
234,2021,Data Architect,Mid,FT,US,L,100,Data Engineering,"14,322,500.00"
235,2021,Head of Data Science,Mid,FT,US,S,0,Managerial,"8,752,666.67"
236,2021,Research Scientist,Mid,FT,CA,M,100,Other,"5,077,333.33"
237,2021,Data Scientist,Mid,FT,ES,M,100,Data Science,"3,724,583.33"
238,2021,Data Scientist,Entry,FT,VN,M,0,Data Science,"318,250.00"
239,2021,Data Engineer,Entry,FT,IN,M,50,Data Engineering,"1,721,666.67"
240,2021,Data Scientist,Senior,FT,CA,L,100,Data Science,"8,250,666.67"
241,2021,Data Analyst,Mid,FT,US,L,100,Data Analytics,"6,365,583.33"
242,2021,Data Engineer,Mid,FT,US,L,100,Data Engineering,"8,752,666.67"
243,2021,Data Scientist,Senior,FT,US,L,100,Data Science,"13,129,000.00"
244,2021,AI Scientist,Entry,FT,IN,S,100,Machine Learning,"1,436,500.00"
245,2021,Data Engineer,Mid,FT,GB,L,50,Data Engineering,"5,745,833.33"
246,2021,Data Scientist,Entry,FT,FR,L,50,Data Science,"2,915,666.67"
247,2021,Data Engineer,Mid,FT,TR,M,0,Data Engineering,"963,000.00"
248,2021,Data Engineer,Senior,FT,GB,L,50,Data Engineering,"7,661,083.33"
249,2021,Principal Data Analyst,Senior,FT,US,M,100,Data Analytics,"13,526,833.33"
250,2021,Data Scientist,Mid,FT,US,L,50,Data Science,"9,150,500.00"
251,2021,Data Scientist,Entry,FT,US,S,100,Data Science,"7,161,250.00"
252,2021,Principal Data Engineer,Executive,FT,US,L,100,Data Engineering,"47,741,666.67"
253,2021,Data Scientist,Entry,FT,IN,M,100,Data Science,"2,259,666.67"
254,2021,Data Analyst,Mid,FT,US,L,100,Data Analytics,"7,400,000.00"
255,2021,Big Data Architect,Senior,FT,CA,M,50,Data Engineering,"7,933,333.33"
256,2021,Data Engineer,Mid,FT,US,L,100,Data Engineering,"15,913,916.67"
257,2021,Principal Data Scientist,Senior,FT,DE,M,100,Data Science,"13,826,166.67"
258,2021,Machine Learning Engineer,Senior,FT,US,L,50,Machine Learning,"14,720,333.33"
259,2021,Director of Data Science,Executive,FT,DE,L,0,Managerial,"11,286,583.33"
260,2021,Data Scientist,Mid,FT,US,L,50,Data Science,"10,344,000.00"
261,2021,Data Analyst,Senior,FT,DE,L,50,Data Analytics,"5,079,000.00"
262,2021,Data Scientist,Mid,FT,IN,S,100,Data Science,"1,345,083.33"
263,2021,Machine Learning Engineer,Senior,FT,IN,L,0,Machine Learning,"5,272,666.67"
264,2021,Data Scientist,Mid,FT,RS,S,100,Data Science,"2,031,583.33"
265,2021,Lead Data Engineer,Senior,FT,PR,S,50,Data Engineering,"12,731,083.33"
266,2021,Data Engineer,Mid,FT,US,M,0,Data Engineering,"7,411,916.67"
267,2021,Data Engineer,Mid,FT,US,M,0,Data Engineering,"8,893,916.67"
268,2021,Data Engineer,Mid,FT,TR,M,100,Data Engineering,"2,229,250.00"
269,2021,Data Engineer,Entry,FT,DE,M,50,Data Engineering,"5,173,083.33"
270,2021,Data Engineer,Entry,FT,US,L,100,Data Engineering,"5,768,750.00"
271,2021,Computer Vision Engineer,Senior,FT,BR,M,0,Other,"1,504,416.67"
272,2021,Data Science Consultant,Entry,FT,DE,L,0,Consultant,"6,113,583.33"
273,2021,Machine Learning Engineer,Entry,FT,NL,S,100,Machine Learning,"6,763,416.67"
274,2021,Data Scientist,Senior,FT,FR,M,50,Data Science,"6,181,250.00"
275,2021,Data Scientist,Entry,FT,US,M,100,Data Science,"7,956,916.67"
276,2021,Data Scientist,Entry,FT,US,L,50,Data Science,"4,615,000.00"
277,2021,AI Scientist,Senior,FT,ES,L,100,Machine Learning,"4,376,333.33"
278,2021,Data Scientist,Senior,FT,TR,L,50,Data Science,"1,605,000.00"
279,2021,Business Data Analyst,Entry,FT,LU,L,100,Data Analytics,"4,702,750.00"
280,2021,Data Engineer,Mid,FT,US,L,100,Data Engineering,"8,911,750.00"
281,2021,Research Scientist,Entry,FT,JE,L,0,Other,"7,956,916.67"
282,2021,Data Engineer,Mid,PT,NL,L,100,Data Engineering,"5,549,250.00"
283,2021,Staff Data Scientist,Senior,CT,US,M,100,Data Science,"8,354,833.33"
284,2021,Research Scientist,Mid,FT,CZ,L,50,Other,"5,569,750.00"
285,2021,Data Science Manager,Senior,FT,IN,L,50,Managerial,"7,532,416.67"
286,2021,Head of Data,Senior,FT,SI,L,100,Managerial,"8,182,833.33"
287,2021,Data Scientist,Mid,FT,US,L,50,Data Science,"8,673,083.33"
288,2021,Machine Learning Engineer,Mid,FT,IT,L,50,Machine Learning,"4,063,166.67"
289,2022,Data Engineer,Senior,FT,US,M,100,Data Engineering,"10,741,916.67"
290,2022,Data Analyst,Senior,FT,US,M,100,Data Analytics,"12,333,250.00"
291,2022,Data Analyst,Senior,FT,US,M,100,Data Analytics,"9,596,083.33"
292,2022,Data Scientist,Mid,FT,US,M,0,Data Science,"10,344,000.00"
293,2022,Data Scientist,Mid,FT,US,M,0,Data Science,"7,161,250.00"
294,2022,Data Engineer,Mid,FT,US,M,100,Data Engineering,"13,526,833.33"
295,2022,Data Engineer,Mid,FT,US,M,100,Data Engineering,"11,935,416.67"
296,2022,Data Analyst,Senior,FT,US,M,100,Data Analytics,"8,124,083.33"
297,2022,Data Analyst,Senior,FT,US,M,100,Data Analytics,"6,755,416.67"
298,2022,Data Scientist,Senior,FT,US,M,100,Data Science,"10,870,750.00"
299,2022,Data Scientist,Senior,FT,US,M,100,Data Science,"7,906,000.00"
300,2022,Data Scientist,Senior,FT,GB,M,0,Data Science,"9,372,416.67"
301,2022,Data Scientist,Senior,FT,GB,M,0,Data Science,"8,331,083.33"
